epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,2053.36,0.58248,0.8734,0.54386,0.93542,0.8992,0.87207,0.94203,0.83166,0.90985,0.87324,0.9321,0.68471,0.45855,0.62497,0.44438,0.85774,0.000383,0.000383,0.000383
100,2074.1,0.56915,0.85067,0.52238,0.92345,0.8939,0.86027,0.93766,0.82777,0.9139,0.86268,0.93044,0.67847,0.47069,0.62286,0.45196,0.86801,0.0003665,0.0003665,0.0003665
101,2094.98,0.61266,0.97253,0.56927,0.96247,0.88582,0.8838,0.94489,0.834,0.89455,0.87559,0.92939,0.67278,0.45526,0.61782,0.43796,0.85843,0.00035,0.00035,0.00035
102,2115.44,0.57169,0.87408,0.53009,0.94165,0.89304,0.87089,0.94402,0.83296,0.89491,0.86951,0.92996,0.67023,0.46048,0.60708,0.44019,0.8595,0.0003335,0.0003335,0.0003335
103,2135.89,0.57277,0.87409,0.52842,0.94039,0.90267,0.87207,0.94328,0.83861,0.90024,0.86972,0.92867,0.67077,0.44285,0.60454,0.43649,0.85677,0.000317,0.000317,0.000317
104,2156.55,0.60894,0.92667,0.54769,0.95455,0.88914,0.88732,0.94304,0.84361,0.9007,0.87324,0.93256,0.68939,0.4308,0.58207,0.4295,0.85522,0.0003005,0.0003005,0.0003005
105,2177.05,0.60188,0.91781,0.55305,0.95301,0.87498,0.88967,0.94177,0.8391,0.92318,0.84626,0.92601,0.67388,0.44846,0.59601,0.42591,0.86042,0.000284,0.000284,0.000284
106,2197.46,0.58106,0.871,0.54155,0.93964,0.88116,0.88769,0.94211,0.8371,0.91214,0.86516,0.92993,0.67575,0.45937,0.60291,0.42777,0.86195,0.0002675,0.0002675,0.0002675
107,2218.08,0.57825,0.88573,0.52338,0.93587,0.88679,0.87559,0.93967,0.83538,0.89199,0.87676,0.92869,0.68005,0.45853,0.61523,0.43905,0.86184,0.000251,0.000251,0.000251
108,2239.02,0.59069,0.89046,0.54081,0.93929,0.90495,0.86502,0.93984,0.83588,0.92885,0.85211,0.92943,0.67898,0.4502,0.6111,0.44213,0.86086,0.0002345,0.0002345,0.0002345
109,2259.39,0.5726,0.85854,0.52355,0.93165,0.90767,0.85385,0.94069,0.83641,0.93374,0.84507,0.93036,0.67786,0.44215,0.59513,0.43649,0.85494,0.000218,0.000218,0.000218
110,2280.01,0.5733,0.88302,0.53123,0.93631,0.89784,0.87324,0.94222,0.84059,0.92439,0.86033,0.93399,0.68538,0.43816,0.59118,0.42812,0.85119,0.0002015,0.0002015,0.0002015
111,2334.66,0.49616,0.70721,0.48778,0.89478,0.90962,0.85681,0.94098,0.83493,0.89213,0.86972,0.92623,0.66567,0.44385,0.60822,0.437,0.84765,0.000185,0.000185,0.000185
112,2354.24,0.47436,0.69877,0.47225,0.88399,0.89862,0.86385,0.9408,0.83575,0.89496,0.86033,0.92379,0.6691,0.44097,0.60311,0.4342,0.84924,0.0001685,0.0001685,0.0001685
113,2373.68,0.46709,0.67245,0.461,0.88425,0.9,0.87089,0.94288,0.83712,0.89348,0.86639,0.92749,0.6783,0.44173,0.59279,0.43272,0.85003,0.000152,0.000152,0.000152
114,2393.21,0.49248,0.69738,0.46683,0.89885,0.89151,0.87769,0.94205,0.83555,0.89456,0.87632,0.9335,0.68236,0.44231,0.59143,0.43489,0.85301,0.0001355,0.0001355,0.0001355
115,2412.78,0.47156,0.6722,0.45813,0.88622,0.87673,0.88967,0.9432,0.83668,0.91178,0.86128,0.93458,0.68686,0.44005,0.58726,0.42854,0.8529,0.000119,0.000119,0.000119
116,2432.35,0.47905,0.67821,0.45677,0.8825,0.88173,0.88376,0.94235,0.83798,0.90369,0.87007,0.93514,0.68268,0.44219,0.59188,0.42844,0.85464,0.0001025,0.0001025,0.0001025
117,2451.98,0.46392,0.67263,0.46419,0.87686,0.89149,0.86787,0.94277,0.8343,0.91126,0.86385,0.92943,0.67534,0.44884,0.60303,0.42672,0.85406,8.6e-05,8.6e-05,8.6e-05
118,2471.54,0.47419,0.66039,0.45965,0.87995,0.88417,0.8838,0.94356,0.83844,0.92357,0.85098,0.92774,0.67581,0.44433,0.60394,0.42312,0.85238,6.95e-05,6.95e-05,6.95e-05
119,2491.08,0.46608,0.66872,0.46344,0.88573,0.87779,0.88967,0.94264,0.83866,0.90031,0.8586,0.92717,0.67651,0.44188,0.60204,0.42155,0.85159,5.3e-05,5.3e-05,5.3e-05
120,2510.62,0.46469,0.66754,0.44829,0.87249,0.88311,0.8838,0.94238,0.83831,0.89389,0.86024,0.92649,0.68141,0.43442,0.59532,0.42128,0.85247,3.65e-05,3.65e-05,3.65e-05
